"","username","n"
"1","adrianbaileywbw",254
"2","alan_haselhurst",49
"3","alancampbellmp",412
"4","alanwhiteheadmp",458
"5","alexchalkchelt",250
"6","asollowayuk",20
"7","billcashmp",181
"8","caroline_ansell",239
"9","charleswalkermp",35
"10","colin_j_clark",59
"11","daveandersonmp",265
"12","derektwiggmp",338
"13","dnuttall",273
"14","edwardgarnier",446
"15","edwardtimpson",438
"16","franciemolloy",81
"17","geraldhowarth",278
"18","grahamjones_mp",3
"19","gregclarkmp",269
"20","griffitha",154
"21","gutoaberconwy",244
"22","jacob_rees_mogg",147
"23","jgray",159
"24","jimshannonmp",225
"25","john4carlisle",68
"26","johnglenuk",300
"27","jonathanlord",45
"28","juliansturdy",72
"29","jwhittingdale",92
"30","keithsimpsonnfn",66
"31","kemibadenoch",441
"32","kwasikwarteng",214
"33","lilleypeter",59
"34","louiseellman",484
"35","lukehall",288
"36","maggie_erewash",117
"37","mark_j_harper",418
"38","martinvickers",205
"39","meljstride",440
"40","nigelmills",264
"41","offord4hendon",403
"42","oliverdowden",165
"43","patrick4dales",343
"44","peter_aldous",283
"45","peterboneuk",203
"46","philipdaviesuk",310
"47","ranil",177
"48","rebeccaharrismp",324
"49","richardbaconmp",13
"50","rishisunak",20
"51","ruthgeorge6",188
"52","shaileshvara",440
"53","sirgrahambrady",80
"54","sirrogergale",445
"55","winnickwalsalln",125
"56","yasinforbedford",357
